Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
1/31/2003,11.61,14.1287,18.778,30.076,9.7,66.86,#N/A N/A,7.25,17.26,15.109,7.7532,27.26,27.6478,35.4593,10.6308,10.7889,28.48,14.322,10.08,11.74,17.24,4.6561,#N/A N/A,14.064,30.9888,4.282,47.9424,3.4175,10.8501,1.8045,4.436,64.14,#N/A N/A,35.49,84.649,13.08,64.3,20.7069,15.8,11.2714,48.65,5.2729,21.65,36.969,20.1246,8.6286,17.45,#N/A N/A,15.1355,28.328
2/28/2003,9.96,4.2593,18.658,30.6945,8.07,60.137,#N/A N/A,6.69,16.91,11.292,7.5995,26,25.9021,37.0312,10.3142,10.7134,28.4,13.512,9.44,10.67,18,4.7998,#N/A N/A,13.727,30.2486,4.225,43.8884,3.555,9.6369,2.0117,4.48,54.44,#N/A N/A,34.54,79.494,12.4,59.9,17.7389,15.48,10.3114,49.62,5.4563,19.39,35.641,19.9761,8.6479,17.4667,#N/A N/A,12.6,27.036
3/31/2003,11.6,3.7117,20.2,31.3131,6.9,41.08,#N/A N/A,5.95,17.055,11.514,7.3304,25.44,27.2939,35.3918,11.8523,10.2221,26.79,13.1316,9.09,10.11,17.795,4.6085,#N/A N/A,12.219,28.6202,4.38,41.7028,3.7325,8.1318,1.9105,3.558,43.13,#N/A N/A,32.59,49.933,12.66,55.5,18.6201,14.39,10.5429,46.11,5.3646,17.363,36.629,21.2333,8.3994,18.2,#N/A N/A,11.7871,21.808
4/30/2003,12.5,4.9895,19.275,34.9727,8.33,63.35,#N/A N/A,7.74,19.985,15.072,8.6659,29.87,29.9125,40.5607,12.4403,12.8579,28.9,14.322,10.69,11.98,18.345,4.7248,#N/A N/A,12.788,28.9903,4.445,48.2949,3.6075,11.1726,2.1815,3.572,57.28,#N/A N/A,35.24,85.124,15.16,64.05,20.6226,16.67,12.4286,53.45,6.4558,22.95,43.287,20.9957,9.7127,18.95,#N/A N/A,14.129,22.712
5/30/2003,11.2,7.7641,18.7,33.4522,9.47,64.4,#N/A N/A,8.44,18.425,16.012,8.0702,29.37,27.577,40.5993,11.9427,12.036,26.75,14.3466,12.95,12.73,17.3,5.2246,#N/A N/A,13.72,30.7174,4.825,46.0035,3.715,10.5199,2.5595,3.83,64.55,#N/A N/A,39.31,87.245,15.3,61.7,20.9314,16.61,12.2743,54.35,6.3091,23.863,39.052,19.2387,9.3599,16.7667,#N/A N/A,15.0967,21.619
6/30/2003,12.1,8.7985,18.618,33.2717,10.68,72.38,#N/A N/A,8.27,18.6,18.602,8.7908,33.5,28.4263,42.6726,12.3499,12.7635,30.4,14.4202,12.79,13.29,17.54,4.7901,#N/A N/A,13.172,32.4692,5.16,48.6474,3.77,11.618,2.612,4.38,60.03,#N/A N/A,38.92,84.44,14.34,61.4,21.2801,16.56,12,51,6.9969,25.675,41.397,20.2632,9.9087,15.5967,#N/A N/A,15.3387,25.953
7/31/2003,12.39,8.7863,18.668,35.7974,14.17,95,#N/A N/A,11.64,21.225,19.543,9.3576,34.46,28.5442,46.5975,15.1094,14.4545,32.09,14.3097,13.37,13.55,17.95,4.9955,#N/A N/A,13.107,32.5185,5.366,54.9487,3.8025,13.8141,2.7986,4.544,65.84,#N/A N/A,43.96,96.157,13.62,58.55,23.4022,18.73,13.8429,50.1,7.3362,26.245,48.742,23.6289,10.1831,16.7833,#N/A N/A,15.1258,26.549
8/29/2003,14.05,10.4657,19.068,33.7099,14.4,81.21,#N/A N/A,14.35,20.97,17.948,9.3672,35.99,29.4643,43.7623,15.6974,15.2576,34.69,14.5061,14.6,13,18.5,4.8923,#N/A N/A,13.76,34.4677,6.125,53.2301,3.87,13.6375,2.5642,4.53,71.6,#N/A N/A,49.34,88.644,14.92,63.3,22.5155,22.2,14.0657,51.2,7.1253,27.325,54.653,24.3416,10.5066,16.95,#N/A N/A,14.8161,30.118
9/30/2003,13.37,9.9667,18.738,31.2615,13.24,75.8,#N/A N/A,11.25,18.85,17.1,8.5122,32.45,30.9033,40.5993,13.8608,13.8685,30.14,15.1811,14.67,12.44,18.57,4.7072,#N/A N/A,13.119,31.9757,6.861,50.41,3.6125,12.0787,2.4385,3.68,64.51,#N/A N/A,48.08,81.139,13.22,58.65,19.6761,19.46,13.7914,52.2,6.6759,26.22,49.556,22.0252,9.9381,16.8333,#N/A N/A,14.7096,26.48
10/31/2003,12.59,8.8593,19.925,32.8594,17.5,92.22,#N/A N/A,14.93,19.73,19.054,9.4825,34.45,30.6202,43.5888,13.9965,15.6225,32.09,15.3038,16.55,13.55,20.69,4.7398,#N/A N/A,13.656,32.9873,6.709,56.3147,3.5875,13.7143,2.7255,3.554,80.2,#N/A N/A,53.58,102.59,14.61,63.6,20.7421,23.19,15.0514,53.25,7.5654,31.288,56.204,24.9207,10.5788,16.59,#N/A N/A,17.4871,29.114
